"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111"
26,27,28,29,30,31,32,33,108,109,110,0,1,2,3,4,44,45,46,47,48,49,50,51,66,67,68,69,70,71,72,73,37,38,39,40,41,42,43,44,57,58,59,60,61,62,63,64,12,13,14,15,16,17,18,19,83,84,85,86,87,88,89,90,55,56,57,58,59,60,61,62,84,85,86,87,88,89,90,91,55,56,57,58,59,60,61,62,99,100,101,102,103,104,105,106,74,75,76,77,78,79,80,81,31,32,33,34,35,36,37
20,21,22,23,24,25,26,27,87,88,89,90,91,92,93,94,87,88,89,90,91,92,93,94,25,26,27,28,29,30,31,32,43,44,45,46,47,48,49,50,45,46,47,48,49,50,51,52,77,78,79,80,81,82,83,84,83,84,85,86,87,88,89,90,13,14,15,16,17,18,19,20,105,106,107,108,109,110,0,1,43,44,45,46,47,48,49,50,63,64,65,66,67,68,69,70,56,57,58,59,60,61,62,63,12,13,14,15,16,17,18
63,64,65,66,67,68,69,70,45,46,47,48,49,50,51,52,36,37,38,39,40,41,42,43,1,2,3,4,5,6,7,8,68,69,70,71,72,73,74,75,3,4,5,6,7,8,9,10,73,74,75,76,77,78,79,80,18,19,20,21,22,23,24,25,33,34,35,36,37,38,39,40,95,96,97,98,99,100,101,102,30,31,32,33,34,35,36,37,40,41,42,43,44,45,46,47,44,45,46,47,48,49,50,51,56,57,58,59,60,61,62
1,2,3,4,5,6,7,8,40,41,42,43,44,45,46,47,89,90,91,92,93,94,95,96,101,102,103,104,105,106,107,108,80,81,82,83,84,85,86,87,34,35,36,37,38,39,40,41,38,39,40,41,42,43,44,45,50,51,52,53,54,55,56,57,11,12,13,14,15,16,17,18,46,47,48,49,50,51,52,53,23,24,25,26,27,28,29,30,13,14,15,16,17,18,19,20,48,49,50,51,52,53,54,55,44,45,46,47,48,49,50
52,53,54,55,56,57,58,59,67,68,69,70,71,72,73,74,110,0,1,2,3,4,5,6,5,6,7,8,9,10,11,12,80,81,82,83,84,85,86,87,105,106,107,108,109,110,0,1,25,26,27,28,29,30,31,32,72,73,74,75,76,77,78,79,40,41,42,43,44,45,46,47,31,32,33,34,35,36,37,38,5,6,7,8,9,10,11,12,50,51,52,53,54,55,56,57,103,104,105,106,107,108,109,110,74,75,76,77,78,79,80
9,10,11,12,13,14,15,16,56,57,58,59,60,61,62,63,69,70,71,72,73,74,75,76,91,92,93,94,95,96,97,98,52,53,54,55,56,57,58,59,96,97,98,99,100,101,102,103,94,95,96,97,98,99,100,101,64,65,66,67,68,69,70,71,80,81,82,83,84,85,86,87,64,65,66,67,68,69,70,71,12,13,14,15,16,17,18,19,2,3,4,5,6,7,8,9,72,73,74,75,76,77,78,79,23,24,25,26,27,28,29
81,82,83,84,85,86,87,88,10,11,12,13,14,15,16,17,16,17,18,19,20,21,22,23,66,67,68,69,70,71,72,73,93,94,95,96,97,98,99,100,92,93,94,95,96,97,98,99,46,47,48,49,50,51,52,53,31,32,33,34,35,36,37,38,23,24,25,26,27,28,29,30,91,92,93,94,95,96,97,98,7,8,9,10,11,12,13,14,108,109,110,0,1,2,3,4,77,78,79,80,81,82,83,84,35,36,37,38,39,40,41
11,12,13,14,15,16,17,18,49,50,51,52,53,54,55,56,70,71,72,73,74,75,76,77,36,37,38,39,40,41,42,43,29,30,31,32,33,34,35,36,93,94,95,96,97,98,99,100,91,92,93,94,95,96,97,98,62,63,64,65,66,67,68,69,75,76,77,78,79,80,81,82,2,3,4,5,6,7,8,9,53,54,55,56,57,58,59,60,10,11,12,13,14,15,16,17,88,89,90,91,92,93,94,95,87,88,89,90,91,92,93
99,100,101,102,103,104,105,106,30,31,32,33,34,35,36,37,48,49,50,51,52,53,54,55,87,88,89,90,91,92,93,94,3,4,5,6,7,8,9,10,93,94,95,96,97,98,99,100,61,62,63,64,65,66,67,68,102,103,104,105,106,107,108,109,36,37,38,39,40,41,42,43,7,8,9,10,11,12,13,14,55,56,57,58,59,60,61,62,109,110,0,1,2,3,4,5,55,56,57,58,59,60,61,62,73,74,75,76,77,78,79
94,95,96,97,98,99,100,101,110,0,1,2,3,4,5,6,102,103,104,105,106,107,108,109,61,62,63,64,65,66,67,68,107,108,109,110,0,1,2,3,77,78,79,80,81,82,83,84,106,107,108,109,110,0,1,2,53,54,55,56,57,58,59,60,25,26,27,28,29,30,31,32,51,52,53,54,55,56,57,58,3,4,5,6,7,8,9,10,87,88,89,90,91,92,93,94,43,44,45,46,47,48,49,50,92,93,94,95,96,97,98
85,86,87,88,89,90,91,92,64,65,66,67,68,69,70,71,8,9,10,11,12,13,14,15,8,9,10,11,12,13,14,15,26,27,28,29,30,31,32,33,60,61,62,63,64,65,66,67,40,41,42,43,44,45,46,47,82,83,84,85,86,87,88,89,8,9,10,11,12,13,14,15,19,20,21,22,23,24,25,26,2,3,4,5,6,7,8,9,70,71,72,73,74,75,76,77,57,58,59,60,61,62,63,64,93,94,95,96,97,98,99
20,21,22,23,24,25,26,27,19,20,21,22,23,24,25,26,26,27,28,29,30,31,32,33,64,65,66,67,68,69,70,71,41,42,43,44,45,46,47,48,11,12,13,14,15,16,17,18,109,110,0,1,2,3,4,5,15,16,17,18,19,20,21,22,108,109,110,0,1,2,3,4,86,87,88,89,90,91,92,93,29,30,31,32,33,34,35,36,55,56,57,58,59,60,61,62,94,95,96,97,98,99,100,101,67,68,69,70,71,72,73
84,85,86,87,88,89,90,91,85,86,87,88,89,90,91,92,99,100,101,102,103,104,105,106,69,70,71,72,73,74,75,76,61,62,63,64,65,66,67,68,63,64,65,66,67,68,69,70,11,12,13,14,15,16,17,18,27,28,29,30,31,32,33,34,89,90,91,92,93,94,95,96,62,63,64,65,66,67,68,69,49,50,51,52,53,54,55,56,12,13,14,15,16,17,18,19,31,32,33,34,35,36,37,38,65,66,67,68,69,70,71
69,70,71,72,73,74,75,76,81,82,83,84,85,86,87,88,2,3,4,5,6,7,8,9,47,48,49,50,51,52,53,54,21,22,23,24,25,26,27,28,26,27,28,29,30,31,32,33,88,89,90,91,92,93,94,95,57,58,59,60,61,62,63,64,68,69,70,71,72,73,74,75,5,6,7,8,9,10,11,12,71,72,73,74,75,76,77,78,106,107,108,109,110,0,1,2,44,45,46,47,48,49,50,51,98,99,100,101,102,103,104
56,57,58,59,60,61,62,63,75,76,77,78,79,80,81,82,94,95,96,97,98,99,100,101,81,82,83,84,85,86,87,88,95,96,97,98,99,100,101,102,54,55,56,57,58,59,60,61,95,96,97,98,99,100,101,102,6,7,8,9,10,11,12,13,58,59,60,61,62,63,64,65,110,0,1,2,3,4,5,6,38,39,40,41,42,43,44,45,94,95,96,97,98,99,100,101,14,15,16,17,18,19,20,21,106,107,108,109,110,0,1
47,48,49,50,51,52,53,54,24,25,26,27,28,29,30,31,9,10,11,12,13,14,15,16,38,39,40,41,42,43,44,45,41,42,43,44,45,46,47,48,25,26,27,28,29,30,31,32,0,1,2,3,4,5,6,7,4,5,6,7,8,9,10,11,23,24,25,26,27,28,29,30,34,35,36,37,38,39,40,41,41,42,43,44,45,46,47,48,103,104,105,106,107,108,109,110,60,61,62,63,64,65,66,67,93,94,95,96,97,98,99
88,89,90,91,92,93,94,95,90,91,92,93,94,95,96,97,42,43,44,45,46,47,48,49,75,76,77,78,79,80,81,82,71,72,73,74,75,76,77,78,98,99,100,101,102,103,104,105,25,26,27,28,29,30,31,32,66,67,68,69,70,71,72,73,45,46,47,48,49,50,51,52,13,14,15,16,17,18,19,20,42,43,44,45,46,47,48,49,110,0,1,2,3,4,5,6,96,97,98,99,100,101,102,103,16,17,18,19,20,21,22
56,57,58,59,60,61,62,63,104,105,106,107,108,109,110,0,35,36,37,38,39,40,41,42,49,50,51,52,53,54,55,56,76,77,78,79,80,81,82,83,19,20,21,22,23,24,25,26,39,40,41,42,43,44,45,46,69,70,71,72,73,74,75,76,93,94,95,96,97,98,99,100,78,79,80,81,82,83,84,85,73,74,75,76,77,78,79,80,106,107,108,109,110,0,1,2,61,62,63,64,65,66,67,68,84,85,86,87,88,89,90
85,86,87,88,89,90,91,92,50,51,52,53,54,55,56,57,66,67,68,69,70,71,72,73,58,59,60,61,62,63,64,65,46,47,48,49,50,51,52,53,27,28,29,30,31,32,33,34,84,85,86,87,88,89,90,91,90,91,92,93,94,95,96,97,108,109,110,0,1,2,3,4,62,63,64,65,66,67,68,69,42,43,44,45,46,47,48,49,35,36,37,38,39,40,41,42,76,77,78,79,80,81,82,83,67,68,69,70,71,72,73
83,84,85,86,87,88,89,90,38,39,40,41,42,43,44,45,21,22,23,24,25,26,27,28,101,102,103,104,105,106,107,108,0,1,2,3,4,5,6,7,59,60,61,62,63,64,65,66,3,4,5,6,7,8,9,10,75,76,77,78,79,80,81,82,76,77,78,79,80,81,82,83,7,8,9,10,11,12,13,14,105,106,107,108,109,110,0,1,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,35,36,37,38,39,40,41
108,109,110,0,1,2,3,4,6,7,8,9,10,11,12,13,102,103,104,105,106,107,108,109,85,86,87,88,89,90,91,92,7,8,9,10,11,12,13,14,58,59,60,61,62,63,64,65,14,15,16,17,18,19,20,21,3,4,5,6,7,8,9,10,20,21,22,23,24,25,26,27,47,48,49,50,51,52,53,54,7,8,9,10,11,12,13,14,89,90,91,92,93,94,95,96,65,66,67,68,69,70,71,72,84,85,86,87,88,89,90
2,3,4,5,6,7,8,9,103,104,105,106,107,108,109,110,33,34,35,36,37,38,39,40,98,99,100,101,102,103,104,105,30,31,32,33,34,35,36,37,59,60,61,62,63,64,65,66,33,34,35,36,37,38,39,40,3,4,5,6,7,8,9,10,65,66,67,68,69,70,71,72,24,25,26,27,28,29,30,31,101,102,103,104,105,106,107,108,78,79,80,81,82,83,84,85,14,15,16,17,18,19,20,21,100,101,102,103,104,105,106
64,65,66,67,68,69,70,71,103,104,105,106,107,108,109,110,44,45,46,47,48,49,50,51,38,39,40,41,42,43,44,45,49,50,51,52,53,54,55,56,67,68,69,70,71,72,73,74,14,15,16,17,18,19,20,21,97,98,99,100,101,102,103,104,64,65,66,67,68,69,70,71,1,2,3,4,5,6,7,8,30,31,32,33,34,35,36,37,55,56,57,58,59,60,61,62,20,21,22,23,24,25,26,27,74,75,76,77,78,79,80
14,15,16,17,18,19,20,21,78,79,80,81,82,83,84,85,102,103,104,105,106,107,108,109,15,16,17,18,19,20,21,22,2,3,4,5,6,7,8,9,103,104,105,106,107,108,109,110,24,25,26,27,28,29,30,31,98,99,100,101,102,103,104,105,83,84,85,86,87,88,89,90,110,0,1,2,3,4,5,6,37,38,39,40,41,42,43,44,39,40,41,42,43,44,45,46,41,42,43,44,45,46,47,48,36,37,38,39,40,41,42
99,100,101,102,103,104,105,106,58,59,60,61,62,63,64,65,55,56,57,58,59,60,61,62,22,23,24,25,26,27,28,29,100,101,102,103,104,105,106,107,35,36,37,38,39,40,41,42,22,23,24,25,26,27,28,29,32,33,34,35,36,37,38,39,83,84,85,86,87,88,89,90,68,69,70,71,72,73,74,75,86,87,88,89,90,91,92,93,76,77,78,79,80,81,82,83,0,1,2,3,4,5,6,7,6,7,8,9,10,11,12
6,7,8,9,10,11,12,13,12,13,14,15,16,17,18,19,8,9,10,11,12,13,14,15,6,7,8,9,10,11,12,13,6,7,8,9,10,11,12,13,33,34,35,36,37,38,39,40,106,107,108,109,110,0,1,2,105,106,107,108,109,110,0,1,39,40,41,42,43,44,45,46,61,62,63,64,65,66,67,68,51,52,53,54,55,56,57,58,0,1,2,3,4,5,6,7,59,60,61,62,63,64,65,66,106,107,108,109,110,0,1
106,107,108,109,110,0,1,2,79,80,81,82,83,84,85,86,73,74,75,76,77,78,79,80,7,8,9,10,11,12,13,14,109,110,0,1,2,3,4,5,72,73,74,75,76,77,78,79,57,58,59,60,61,62,63,64,36,37,38,39,40,41,42,43,55,56,57,58,59,60,61,62,81,82,83,84,85,86,87,88,63,64,65,66,67,68,69,70,103,104,105,106,107,108,109,110,99,100,101,102,103,104,105,106,64,65,66,67,68,69,70
70,71,72,73,74,75,76,77,10,11,12,13,14,15,16,17,28,29,30,31,32,33,34,35,28,29,30,31,32,33,34,35,100,101,102,103,104,105,106,107,12,13,14,15,16,17,18,19,72,73,74,75,76,77,78,79,68,69,70,71,72,73,74,75,93,94,95,96,97,98,99,100,3,4,5,6,7,8,9,10,104,105,106,107,108,109,110,0,98,99,100,101,102,103,104,105,63,64,65,66,67,68,69,70,63,64,65,66,67,68,69
35,36,37,38,39,40,41,42,31,32,33,34,35,36,37,38,88,89,90,91,92,93,94,95,54,55,56,57,58,59,60,61,50,51,52,53,54,55,56,57,16,17,18,19,20,21,22,23,98,99,100,101,102,103,104,105,50,51,52,53,54,55,56,57,25,26,27,28,29,30,31,32,91,92,93,94,95,96,97,98,107,108,109,110,0,1,2,3,106,107,108,109,110,0,1,2,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
49,50,51,52,53,54,55,56,81,82,83,84,85,86,87,88,13,14,15,16,17,18,19,20,52,53,54,55,56,57,58,59,84,85,86,87,88,89,90,91,2,3,4,5,6,7,8,9,14,15,16,17,18,19,20,21,25,26,27,28,29,30,31,32,108,109,110,0,1,2,3,4,105,106,107,108,109,110,0,1,79,80,81,82,83,84,85,86,41,42,43,44,45,46,47,48,100,101,102,103,104,105,106,107,46,47,48,49,50,51,52
20,21,22,23,24,25,26,27,22,23,24,25,26,27,28,29,92,93,94,95,96,97,98,99,6,7,8,9,10,11,12,13,68,69,70,71,72,73,74,75,10,11,12,13,14,15,16,17,11,12,13,14,15,16,17,18,106,107,108,109,110,0,1,2,45,46,47,48,49,50,51,52,88,89,90,91,92,93,94,95,104,105,106,107,108,109,110,0,76,77,78,79,80,81,82,83,0,1,2,3,4,5,6,7,58,59,60,61,62,63,64
103,104,105,106,107,108,109,110,107,108,109,110,0,1,2,3,102,103,104,105,106,107,108,109,71,72,73,74,75,76,77,78,18,19,20,21,22,23,24,25,60,61,62,63,64,65,66,67,12,13,14,15,16,17,18,19,42,43,44,45,46,47,48,49,67,68,69,70,71,72,73,74,76,77,78,79,80,81,82,83,72,73,74,75,76,77,78,79,39,40,41,42,43,44,45,46,48,49,50,51,52,53,54,55,49,50,51,52,53,54,55
30,31,32,33,34,35,36,37,51,52,53,54,55,56,57,58,10,11,12,13,14,15,16,17,53,54,55,56,57,58,59,60,11,12,13,14,15,16,17,18,102,103,104,105,106,107,108,109,42,43,44,45,46,47,48,49,97,98,99,100,101,102,103,104,39,40,41,42,43,44,45,46,95,96,97,98,99,100,101,102,27,28,29,30,31,32,33,34,30,31,32,33,34,35,36,37,10,11,12,13,14,15,16,17,59,60,61,62,63,64,65
27,28,29,30,31,32,33,34,79,80,81,82,83,84,85,86,58,59,60,61,62,63,64,65,6,7,8,9,10,11,12,13,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23,24,69,70,71,72,73,74,75,76,71,72,73,74,75,76,77,78,75,76,77,78,79,80,81,82,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,93,94,95,96,97,98,99,100,60,61,62,63,64,65,66,67,11,12,13,14,15,16,17
93,94,95,96,97,98,99,100,26,27,28,29,30,31,32,33,100,101,102,103,104,105,106,107,48,49,50,51,52,53,54,55,53,54,55,56,57,58,59,60,80,81,82,83,84,85,86,87,37,38,39,40,41,42,43,44,96,97,98,99,100,101,102,103,7,8,9,10,11,12,13,14,47,48,49,50,51,52,53,54,74,75,76,77,78,79,80,81,78,79,80,81,82,83,84,85,84,85,86,87,88,89,90,91,108,109,110,0,1,2,3
74,75,76,77,78,79,80,81,46,47,48,49,50,51,52,53,56,57,58,59,60,61,62,63,2,3,4,5,6,7,8,9,27,28,29,30,31,32,33,34,38,39,40,41,42,43,44,45,7,8,9,10,11,12,13,14,29,30,31,32,33,34,35,36,48,49,50,51,52,53,54,55,37,38,39,40,41,42,43,44,18,19,20,21,22,23,24,25,13,14,15,16,17,18,19,20,66,67,68,69,70,71,72,73,13,14,15,16,17,18,19
83,84,85,86,87,88,89,90,26,27,28,29,30,31,32,33,24,25,26,27,28,29,30,31,53,54,55,56,57,58,59,60,1,2,3,4,5,6,7,8,12,13,14,15,16,17,18,19,65,66,67,68,69,70,71,72,81,82,83,84,85,86,87,88,0,1,2,3,4,5,6,7,45,46,47,48,49,50,51,52,25,26,27,28,29,30,31,32,64,65,66,67,68,69,70,71,63,64,65,66,67,68,69,70,91,92,93,94,95,96,97
17,18,19,20,21,22,23,24,45,46,47,48,49,50,51,52,108,109,110,0,1,2,3,4,53,54,55,56,57,58,59,60,100,101,102,103,104,105,106,107,37,38,39,40,41,42,43,44,13,14,15,16,17,18,19,20,43,44,45,46,47,48,49,50,7,8,9,10,11,12,13,14,47,48,49,50,51,52,53,54,9,10,11,12,13,14,15,16,20,21,22,23,24,25,26,27,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
98,99,100,101,102,103,104,105,6,7,8,9,10,11,12,13,53,54,55,56,57,58,59,60,51,52,53,54,55,56,57,58,48,49,50,51,52,53,54,55,68,69,70,71,72,73,74,75,93,94,95,96,97,98,99,100,87,88,89,90,91,92,93,94,0,1,2,3,4,5,6,7,15,16,17,18,19,20,21,22,47,48,49,50,51,52,53,54,100,101,102,103,104,105,106,107,41,42,43,44,45,46,47,48,93,94,95,96,97,98,99
5,6,7,8,9,10,11,12,110,0,1,2,3,4,5,6,51,52,53,54,55,56,57,58,70,71,72,73,74,75,76,77,3,4,5,6,7,8,9,10,26,27,28,29,30,31,32,33,85,86,87,88,89,90,91,92,54,55,56,57,58,59,60,61,20,21,22,23,24,25,26,27,80,81,82,83,84,85,86,87,34,35,36,37,38,39,40,41,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,18,19,20,21,22,23,24
60,61,62,63,64,65,66,67,96,97,98,99,100,101,102,103,59,60,61,62,63,64,65,66,11,12,13,14,15,16,17,18,38,39,40,41,42,43,44,45,100,101,102,103,104,105,106,107,18,19,20,21,22,23,24,25,105,106,107,108,109,110,0,1,98,99,100,101,102,103,104,105,4,5,6,7,8,9,10,11,78,79,80,81,82,83,84,85,35,36,37,38,39,40,41,42,98,99,100,101,102,103,104,105,38,39,40,41,42,43,44
68,69,70,71,72,73,74,75,40,41,42,43,44,45,46,47,75,76,77,78,79,80,81,82,73,74,75,76,77,78,79,80,6,7,8,9,10,11,12,13,33,34,35,36,37,38,39,40,24,25,26,27,28,29,30,31,38,39,40,41,42,43,44,45,2,3,4,5,6,7,8,9,56,57,58,59,60,61,62,63,18,19,20,21,22,23,24,25,95,96,97,98,99,100,101,102,83,84,85,86,87,88,89,90,25,26,27,28,29,30,31
21,22,23,24,25,26,27,28,28,29,30,31,32,33,34,35,59,60,61,62,63,64,65,66,95,96,97,98,99,100,101,102,12,13,14,15,16,17,18,19,44,45,46,47,48,49,50,51,85,86,87,88,89,90,91,92,81,82,83,84,85,86,87,88,61,62,63,64,65,66,67,68,105,106,107,108,109,110,0,1,3,4,5,6,7,8,9,10,50,51,52,53,54,55,56,57,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
11,12,13,14,15,16,17,18,105,106,107,108,109,110,0,1,10,11,12,13,14,15,16,17,53,54,55,56,57,58,59,60,78,79,80,81,82,83,84,85,41,42,43,44,45,46,47,48,10,11,12,13,14,15,16,17,109,110,0,1,2,3,4,5,48,49,50,51,52,53,54,55,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,89,90,91,92,93,94,95,96,17,18,19,20,21,22,23,24,56,57,58,59,60,61,62
1,2,3,4,5,6,7,8,100,101,102,103,104,105,106,107,78,79,80,81,82,83,84,85,84,85,86,87,88,89,90,91,85,86,87,88,89,90,91,92,7,8,9,10,11,12,13,14,73,74,75,76,77,78,79,80,34,35,36,37,38,39,40,41,102,103,104,105,106,107,108,109,52,53,54,55,56,57,58,59,38,39,40,41,42,43,44,45,5,6,7,8,9,10,11,12,23,24,25,26,27,28,29,30,67,68,69,70,71,72,73
53,54,55,56,57,58,59,60,101,102,103,104,105,106,107,108,4,5,6,7,8,9,10,11,40,41,42,43,44,45,46,47,108,109,110,0,1,2,3,4,106,107,108,109,110,0,1,2,9,10,11,12,13,14,15,16,109,110,0,1,2,3,4,5,29,30,31,32,33,34,35,36,44,45,46,47,48,49,50,51,71,72,73,74,75,76,77,78,7,8,9,10,11,12,13,14,26,27,28,29,30,31,32,33,97,98,99,100,101,102,103
74,75,76,77,78,79,80,81,3,4,5,6,7,8,9,10,86,87,88,89,90,91,92,93,99,100,101,102,103,104,105,106,35,36,37,38,39,40,41,42,80,81,82,83,84,85,86,87,57,58,59,60,61,62,63,64,25,26,27,28,29,30,31,32,32,33,34,35,36,37,38,39,39,40,41,42,43,44,45,46,92,93,94,95,96,97,98,99,24,25,26,27,28,29,30,31,27,28,29,30,31,32,33,34,58,59,60,61,62,63,64
78,79,80,81,82,83,84,85,81,82,83,84,85,86,87,88,16,17,18,19,20,21,22,23,102,103,104,105,106,107,108,109,44,45,46,47,48,49,50,51,47,48,49,50,51,52,53,54,88,89,90,91,92,93,94,95,49,50,51,52,53,54,55,56,108,109,110,0,1,2,3,4,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,106,107,108,109,110,0,1,2,46,47,48,49,50,51,52,53,5,6,7,8,9,10,11
88,89,90,91,92,93,94,95,35,36,37,38,39,40,41,42,69,70,71,72,73,74,75,76,96,97,98,99,100,101,102,103,93,94,95,96,97,98,99,100,39,40,41,42,43,44,45,46,80,81,82,83,84,85,86,87,11,12,13,14,15,16,17,18,88,89,90,91,92,93,94,95,87,88,89,90,91,92,93,94,21,22,23,24,25,26,27,28,60,61,62,63,64,65,66,67,87,88,89,90,91,92,93,94,41,42,43,44,45,46,47
