"method","start","end","quarters","output_correlation","consumption_correlation","gap"
"growth","2004-Q1","2013-Q4",40,0.541381055234485,0.214477950381824,0.326903104852661
"growth","2004-Q2","2014-Q1",40,0.538042014527818,0.203655656332033,0.334386358195785
"growth","2004-Q3","2014-Q2",40,0.530769248412331,0.193109146631648,0.337660101780683
"growth","2004-Q4","2014-Q3",40,0.532941955657687,0.201694233071031,0.331247722586656
"growth","2005-Q1","2014-Q4",40,0.53319233189502,0.19544147333797,0.33775085855705
"growth","2005-Q2","2015-Q1",40,0.523849223250286,0.200294565097678,0.323554658152608
"growth","2005-Q3","2015-Q2",40,0.521605430060847,0.190742675963179,0.330862754097668
"growth","2005-Q4","2015-Q3",40,0.517647524053038,0.1912366251349,0.326410898918138
"growth","2006-Q1","2015-Q4",40,0.514893994114527,0.192665296774664,0.322228697339862
"growth","2006-Q2","2016-Q1",40,0.521057419603791,0.184079294675103,0.336978124928689
"growth","2006-Q3","2016-Q2",40,0.525060380534799,0.183904919494236,0.341155461040563
"growth","2006-Q4","2016-Q3",40,0.522064429533568,0.182349707394157,0.339714722139412
"growth","2007-Q1","2016-Q4",40,0.513084710181789,0.187816397649163,0.325268312532626
"growth","2007-Q2","2017-Q1",40,0.508860160544726,0.208712641515528,0.300147519029198
"growth","2007-Q3","2017-Q2",40,0.508133848224927,0.197051225651381,0.311082622573546
"growth","2007-Q4","2017-Q3",40,0.510299876048641,0.200582821735075,0.309717054313566
"growth","2008-Q1","2017-Q4",40,0.511775424463396,0.200783962802769,0.310991461660627
"growth","2008-Q2","2018-Q1",40,0.519794762989327,0.201304748064864,0.318490014924464
"growth","2008-Q3","2018-Q2",40,0.525278913141598,0.180027250465236,0.345251662676361
"growth","2008-Q4","2018-Q3",40,0.53089913711912,0.153858005420148,0.377041131698972
"growth","2009-Q1","2018-Q4",40,0.391710011852147,0.0741800771230642,0.317529934729083
"growth","2009-Q2","2019-Q1",40,0.134934366256607,0.0654865949552795,0.0694477713013278
"growth","2009-Q3","2019-Q2",40,0.111917675662508,0.0770058432898538,0.0349118323726538
"growth","2009-Q4","2019-Q3",40,0.110949595075826,0.073591507399665,0.0373580876761612
"growth","2010-Q1","2019-Q4",40,0.133306647162973,0.100643087410924,0.0326635597520486
"growth","2010-Q2","2020-Q1",40,0.392685206429615,0.5391617028683,-0.146476496438684
"growth","2010-Q3","2020-Q2",40,0.898197568763016,0.883214738988763,0.0149828297742531
"growth","2010-Q4","2020-Q3",40,0.916600700213671,0.907500485585653,0.00910021462801734
"growth","2011-Q1","2020-Q4",40,0.907906658946831,0.886285062750465,0.0216215961963656
"growth","2011-Q2","2021-Q1",40,0.908087684136316,0.873075981179013,0.0350117029573029
"growth","2011-Q3","2021-Q2",40,0.901175233822381,0.860023175585536,0.0411520582368442
"growth","2011-Q4","2021-Q3",40,0.892928598859806,0.826968380604662,0.0659602182551439
"growth","2012-Q1","2021-Q4",40,0.887778916128476,0.813085571928069,0.0746933442004069
"growth","2012-Q2","2022-Q1",40,0.888349945846019,0.81015716449151,0.0781927813545085
"growth","2012-Q3","2022-Q2",40,0.887001467675001,0.809893703946162,0.0771077637288384
"growth","2012-Q4","2022-Q3",40,0.887326806174628,0.810152342316344,0.077174463858284
"growth","2013-Q1","2022-Q4",40,0.88683227804957,0.809380909717095,0.0774513683324757
"growth","2013-Q2","2023-Q1",40,0.88751624086084,0.810979321662393,0.0765369191984471
"growth","2013-Q3","2023-Q2",40,0.887623051307411,0.810958371581229,0.0766646797261817
"growth","2013-Q4","2023-Q3",40,0.886394268513267,0.810881377985875,0.0755128905273916
"growth","2014-Q1","2023-Q4",40,0.886093394313579,0.811013944831157,0.0750794494824215
"growth","2014-Q2","2024-Q1",40,0.887627326297682,0.813226511976768,0.0744008143209137
"growth","2014-Q3","2024-Q2",40,0.889810395489917,0.824428386060901,0.065382009429016
"growth","2014-Q4","2024-Q3",40,0.88957141949941,0.824375138877248,0.0651962806221619
"growth","2015-Q1","2024-Q4",40,0.889997142118034,0.82457411420948,0.0654230279085545
"growth","2015-Q2","2025-Q1",40,0.892449466571486,0.824542979361231,0.067906487210255
"growth","2015-Q3","2025-Q2",40,0.892423753514183,0.824773559801899,0.067650193712284
"growth","2015-Q4","2025-Q3",40,0.891560101315059,0.824349801453357,0.0672102998617018
"growth","2016-Q1","2025-Q4",40,0.891463353698903,0.824658690795387,0.0668046629035159
"growth","2016-Q2","2026-Q1",40,0.891605170562203,0.824470377010607,0.0671347935515961
"growth","2016-Q3","2026-Q2",40,0.890140387664719,0.825065838254216,0.0650745494105038
"hamilton","1998-Q4","2008-Q3",40,0.457419499513866,0.360753487120353,0.0966660123935122
"hamilton","1999-Q1","2008-Q4",40,0.50031315204721,0.419756291961563,0.0805568600856465
"hamilton","1999-Q2","2009-Q1",40,0.574418370600574,0.463581407415911,0.110836963184663
"hamilton","1999-Q3","2009-Q2",40,0.62245914498553,0.485311218416732,0.137147926568798
"hamilton","1999-Q4","2009-Q3",40,0.673844197895745,0.496912316166089,0.176931881729657
"hamilton","2000-Q1","2009-Q4",40,0.707265591627503,0.512577543962479,0.194688047665024
"hamilton","2000-Q2","2010-Q1",40,0.724067184275567,0.515874049596252,0.208193134679315
"hamilton","2000-Q3","2010-Q2",40,0.733741447434198,0.516746182901074,0.216995264533124
"hamilton","2000-Q4","2010-Q3",40,0.736086121736291,0.513050906758922,0.22303521497737
"hamilton","2001-Q1","2010-Q4",40,0.747036475357678,0.515027824018749,0.23200865133893
"hamilton","2001-Q2","2011-Q1",40,0.74681634449876,0.515351424954175,0.231464919544585
"hamilton","2001-Q3","2011-Q2",40,0.751103341681264,0.520131547727553,0.230971793953712
"hamilton","2001-Q4","2011-Q3",40,0.754238114866172,0.526728557392689,0.227509557473483
"hamilton","2002-Q1","2011-Q4",40,0.752329962647823,0.528979053970657,0.223350908677166
"hamilton","2002-Q2","2012-Q1",40,0.745765535611926,0.519780656635448,0.225984878976478
"hamilton","2002-Q3","2012-Q2",40,0.733546071868762,0.502837939838432,0.230708132030331
"hamilton","2002-Q4","2012-Q3",40,0.723392807524866,0.483702430636531,0.239690376888335
"hamilton","2003-Q1","2012-Q4",40,0.714515273547513,0.462509057918078,0.252006215629435
"hamilton","2003-Q2","2013-Q1",40,0.694873456322099,0.424151643871014,0.270721812451085
"hamilton","2003-Q3","2013-Q2",40,0.680437996816217,0.38415412310076,0.296283873715457
"hamilton","2003-Q4","2013-Q3",40,0.675717524085817,0.353223573668142,0.322493950417675
"hamilton","2004-Q1","2013-Q4",40,0.673103388838432,0.331374903224491,0.341728485613941
"hamilton","2004-Q2","2014-Q1",40,0.671199795335701,0.313792172195269,0.357407623140432
"hamilton","2004-Q3","2014-Q2",40,0.669121661919563,0.305186920801273,0.36393474111829
"hamilton","2004-Q4","2014-Q3",40,0.668098926582995,0.303421246633536,0.364677679949459
"hamilton","2005-Q1","2014-Q4",40,0.665156664832746,0.298860241875726,0.36629642295702
"hamilton","2005-Q2","2015-Q1",40,0.665081751563055,0.29507163915845,0.370010112404605
"hamilton","2005-Q3","2015-Q2",40,0.662477246730165,0.288184986958178,0.374292259771987
"hamilton","2005-Q4","2015-Q3",40,0.663202989628703,0.287272809325683,0.375930180303019
"hamilton","2006-Q1","2015-Q4",40,0.663354536171779,0.285690582557499,0.37766395361428
"hamilton","2006-Q2","2016-Q1",40,0.664270161957805,0.288794060877529,0.375476101080275
"hamilton","2006-Q3","2016-Q2",40,0.668817882713256,0.287253347466971,0.381564535246284
"hamilton","2006-Q4","2016-Q3",40,0.670238493501103,0.282023001779966,0.388215491721137
"hamilton","2007-Q1","2016-Q4",40,0.669401993091278,0.28534675790556,0.384055235185718
"hamilton","2007-Q2","2017-Q1",40,0.666558909694616,0.289336525960944,0.377222383733673
"hamilton","2007-Q3","2017-Q2",40,0.665186862139134,0.287875871995283,0.377310990143851
"hamilton","2007-Q4","2017-Q3",40,0.666823143764809,0.287938616365536,0.378884527399272
"hamilton","2008-Q1","2017-Q4",40,0.671528580616616,0.287689827384997,0.38383875323162
"hamilton","2008-Q2","2018-Q1",40,0.680544591085087,0.294877056031766,0.385667535053322
"hamilton","2008-Q3","2018-Q2",40,0.696468499441928,0.306697182212396,0.389771317229532
"hamilton","2008-Q4","2018-Q3",40,0.713201586101799,0.320438616757319,0.39276296934448
"hamilton","2009-Q1","2018-Q4",40,0.716490369207472,0.319284911968865,0.397205457238607
"hamilton","2009-Q2","2019-Q1",40,0.711245504254433,0.300515867717755,0.410729636536678
"hamilton","2009-Q3","2019-Q2",40,0.690600644479264,0.276240425641473,0.414360218837791
"hamilton","2009-Q4","2019-Q3",40,0.650642585450436,0.244076143122064,0.406566442328372
"hamilton","2010-Q1","2019-Q4",40,0.592807722329302,0.205020428062553,0.387787294266749
"hamilton","2010-Q2","2020-Q1",40,0.509115540834839,0.3092824470642,0.199833093770638
"hamilton","2010-Q3","2020-Q2",40,0.80284423982142,0.779476321934508,0.0233679178869118
"hamilton","2010-Q4","2020-Q3",40,0.814760784948445,0.780994043642632,0.0337667413058124
"hamilton","2011-Q1","2020-Q4",40,0.826283873952918,0.790048879712594,0.036234994240324
"hamilton","2011-Q2","2021-Q1",40,0.832381242906067,0.783566964905598,0.0488142780004693
"hamilton","2011-Q3","2021-Q2",40,0.835755355613837,0.775350504177231,0.0604048514366054
"hamilton","2011-Q4","2021-Q3",40,0.825616982991364,0.762493207900277,0.0631237750910867
"hamilton","2012-Q1","2021-Q4",40,0.824237703326465,0.762069161762768,0.0621685415636967
"hamilton","2012-Q2","2022-Q1",40,0.825465842165293,0.764791408456522,0.0606744337087709
"hamilton","2012-Q3","2022-Q2",40,0.813297435825588,0.762581223373781,0.0507162124518067
"hamilton","2012-Q4","2022-Q3",40,0.812249810392922,0.765004024973074,0.0472457854198479
"hamilton","2013-Q1","2022-Q4",40,0.810689392525815,0.76716941404959,0.0435199784762246
"hamilton","2013-Q2","2023-Q1",40,0.857243908459038,0.816080177622163,0.0411637308368749
"hamilton","2013-Q3","2023-Q2",40,0.859253978544618,0.826772055711627,0.0324819228329916
"hamilton","2013-Q4","2023-Q3",40,0.859068115549699,0.843472452334257,0.0155956632154414
"hamilton","2014-Q1","2023-Q4",40,0.860041643595854,0.856770684583997,0.00327095901185757
"hamilton","2014-Q2","2024-Q1",40,0.859293580416805,0.871409124311296,-0.0121155438944911
"hamilton","2014-Q3","2024-Q2",40,0.855005863704346,0.872620136368059,-0.0176142726637132
"hamilton","2014-Q4","2024-Q3",40,0.851167364571021,0.873862457389417,-0.0226950928183964
"hamilton","2015-Q1","2024-Q4",40,0.848600500726071,0.874324483084556,-0.0257239823584849
"hamilton","2015-Q2","2025-Q1",40,0.847330849475021,0.873667768208289,-0.0263369187332678
"hamilton","2015-Q3","2025-Q2",40,0.846914136560168,0.872858381614358,-0.0259442450541899
"hamilton","2015-Q4","2025-Q3",40,0.845914096809755,0.871676682608326,-0.0257625857985716
"hamilton","2016-Q1","2025-Q4",40,0.847006575852105,0.870424774921331,-0.0234181990692262
"hamilton","2016-Q2","2026-Q1",40,0.848470384564913,0.869467206675591,-0.0209968221106778
"hamilton","2016-Q3","2026-Q2",40,0.85116778787717,0.868582187387193,-0.0174143995100237
